eventId,headline,source,date,type,clientId,dbEntityId,industry,country,Description
E1,News Event 1 affecting industry Tech,FactSet,2023-03-04,Default,C40,DB1,Industrial,SG,"Default event 'News Event 1 affecting industry Tech' reported by FactSet on 2023-03-04, affecting Industrial in SG."
E2,News Event 2 affecting industry Tech,Bloomberg,2024-09-25,Sanction,C8,,Energy,US,"Sanction event 'News Event 2 affecting industry Tech' reported by Bloomberg on 2024-09-25, affecting Energy in US."
E3,News Event 3 affecting industry Tech,Reuters,2024-05-02,Tariff,C2,DB5,Industrial,SG,"Tariff event 'News Event 3 affecting industry Tech' reported by Reuters on 2024-05-02, affecting Industrial in SG."
E4,News Event 4 affecting industry Industrial,Bloomberg,2023-11-26,Sanction,C44,DB3,,,"Sanction event 'News Event 4 affecting industry Industrial' reported by Bloomberg on 2023-11-26, affecting  in ."
E5,News Event 5 affecting industry Tech,Bloomberg,2023-05-15,Merger,C50,,Tech,CN,"Merger event 'News Event 5 affecting industry Tech' reported by Bloomberg on 2023-05-15, affecting Tech in CN."
E6,News Event 6 affecting industry Industrial,Bloomberg,2024-02-27,Tariff,C17,,,,"Tariff event 'News Event 6 affecting industry Industrial' reported by Bloomberg on 2024-02-27, affecting  in ."
E7,News Event 7 affecting industry Tech,Bloomberg,2024-07-29,Tariff,C26,DB4,Energy,UK,"Tariff event 'News Event 7 affecting industry Tech' reported by Bloomberg on 2024-07-29, affecting Energy in UK."
E8,News Event 8 affecting industry Tech,Bloomberg,2023-12-08,Default,C3,DB5,,US,"Default event 'News Event 8 affecting industry Tech' reported by Bloomberg on 2023-12-08, affecting  in US."
E9,News Event 9 affecting industry Industrial,FactSet,2024-11-16,Merger,C4,,Energy,US,"Merger event 'News Event 9 affecting industry Industrial' reported by FactSet on 2024-11-16, affecting Energy in US."
E10,News Event 10 affecting industry Tech,Bloomberg,2023-01-23,Default,C22,DB1,Energy,,"Default event 'News Event 10 affecting industry Tech' reported by Bloomberg on 2023-01-23, affecting Energy in ."
E11,News Event 11 affecting industry Energy,Reuters,2023-08-30,Sanction,C12,DB5,,US,"Sanction event 'News Event 11 affecting industry Energy' reported by Reuters on 2023-08-30, affecting  in US."
E12,News Event 12 affecting industry Industrial,Reuters,2023-12-30,Default,C42,DB2,,DE,"Default event 'News Event 12 affecting industry Industrial' reported by Reuters on 2023-12-30, affecting  in DE."
E13,News Event 13 affecting industry Energy,FactSet,2023-02-17,Merger,C3,DB2,,,"Merger event 'News Event 13 affecting industry Energy' reported by FactSet on 2023-02-17, affecting  in ."
E14,News Event 14 affecting industry Energy,FactSet,2024-09-16,Merger,C20,DB2,Industrial,,"Merger event 'News Event 14 affecting industry Energy' reported by FactSet on 2024-09-16, affecting Industrial in ."
E15,News Event 15 affecting industry Energy,Reuters,2024-11-15,Default,C38,DB2,Tech,US,"Default event 'News Event 15 affecting industry Energy' reported by Reuters on 2024-11-15, affecting Tech in US."
E16,News Event 16 affecting industry Industrial,Reuters,2023-03-13,Sanction,C22,,Banking,UK,"Sanction event 'News Event 16 affecting industry Industrial' reported by Reuters on 2023-03-13, affecting Banking in UK."
E17,News Event 17 affecting industry Industrial,Reuters,2023-08-20,Merger,C25,,,,"Merger event 'News Event 17 affecting industry Industrial' reported by Reuters on 2023-08-20, affecting  in ."
E18,News Event 18 affecting industry Energy,Reuters,2024-09-11,Default,C27,DB3,Energy,,"Default event 'News Event 18 affecting industry Energy' reported by Reuters on 2024-09-11, affecting Energy in ."
E19,News Event 19 affecting industry Energy,Bloomberg,2024-09-12,Merger,C35,,Banking,,"Merger event 'News Event 19 affecting industry Energy' reported by Bloomberg on 2024-09-12, affecting Banking in ."
E20,News Event 20 affecting industry Tech,Bloomberg,2023-10-31,Tariff,,DB3,Tech,US,"Tariff event 'News Event 20 affecting industry Tech' reported by Bloomberg on 2023-10-31, affecting Tech in US."
E21,News Event 21 affecting industry Industrial,Bloomberg,2024-10-25,Tariff,C26,,Industrial,CN,"Tariff event 'News Event 21 affecting industry Industrial' reported by Bloomberg on 2024-10-25, affecting Industrial in CN."
E22,News Event 22 affecting industry Tech,Bloomberg,2024-06-30,Merger,C46,DB5,,CN,"Merger event 'News Event 22 affecting industry Tech' reported by Bloomberg on 2024-06-30, affecting  in CN."
E23,News Event 23 affecting industry Tech,Bloomberg,2024-11-13,Tariff,C23,,Banking,DE,"Tariff event 'News Event 23 affecting industry Tech' reported by Bloomberg on 2024-11-13, affecting Banking in DE."
E24,News Event 24 affecting industry Industrial,Reuters,2024-12-24,Merger,C6,DB3,Banking,US,"Merger event 'News Event 24 affecting industry Industrial' reported by Reuters on 2024-12-24, affecting Banking in US."
E25,News Event 25 affecting industry Industrial,Bloomberg,2023-11-25,Sanction,C2,DB3,,SG,"Sanction event 'News Event 25 affecting industry Industrial' reported by Bloomberg on 2023-11-25, affecting  in SG."
E26,News Event 26 affecting industry Energy,Bloomberg,2024-12-18,Merger,C13,DB4,Industrial,,"Merger event 'News Event 26 affecting industry Energy' reported by Bloomberg on 2024-12-18, affecting Industrial in ."
E27,News Event 27 affecting industry Tech,FactSet,2023-11-24,Merger,C36,,Retail,UK,"Merger event 'News Event 27 affecting industry Tech' reported by FactSet on 2023-11-24, affecting Retail in UK."
E28,News Event 28 affecting industry Tech,Bloomberg,2024-12-02,Default,C39,,Energy,UK,"Default event 'News Event 28 affecting industry Tech' reported by Bloomberg on 2024-12-02, affecting Energy in UK."
E29,News Event 29 affecting industry Energy,FactSet,2024-09-08,Tariff,C23,,Banking,US,"Tariff event 'News Event 29 affecting industry Energy' reported by FactSet on 2024-09-08, affecting Banking in US."
E30,News Event 30 affecting industry Industrial,Reuters,2023-10-31,Default,C14,,Energy,US,"Default event 'News Event 30 affecting industry Industrial' reported by Reuters on 2023-10-31, affecting Energy in US."
E31,News Event 31 affecting industry Industrial,Reuters,2024-06-28,Sanction,C31,DB3,Industrial,DE,"Sanction event 'News Event 31 affecting industry Industrial' reported by Reuters on 2024-06-28, affecting Industrial in DE."
E32,News Event 32 affecting industry Industrial,Bloomberg,2023-08-20,Sanction,C44,DB5,Tech,,"Sanction event 'News Event 32 affecting industry Industrial' reported by Bloomberg on 2023-08-20, affecting Tech in ."
E33,News Event 33 affecting industry Tech,FactSet,2023-03-22,Merger,C41,DB3,,SG,"Merger event 'News Event 33 affecting industry Tech' reported by FactSet on 2023-03-22, affecting  in SG."
E34,News Event 34 affecting industry Industrial,Bloomberg,2024-04-06,Default,C12,DB5,Energy,SG,"Default event 'News Event 34 affecting industry Industrial' reported by Bloomberg on 2024-04-06, affecting Energy in SG."
E35,News Event 35 affecting industry Tech,Reuters,2024-12-16,Merger,C9,DB3,Retail,CN,"Merger event 'News Event 35 affecting industry Tech' reported by Reuters on 2024-12-16, affecting Retail in CN."
E36,News Event 36 affecting industry Energy,FactSet,2023-03-21,Sanction,C30,,Industrial,US,"Sanction event 'News Event 36 affecting industry Energy' reported by FactSet on 2023-03-21, affecting Industrial in US."
E37,News Event 37 affecting industry Industrial,Reuters,2024-08-11,Tariff,C50,,Banking,US,"Tariff event 'News Event 37 affecting industry Industrial' reported by Reuters on 2024-08-11, affecting Banking in US."
E38,News Event 38 affecting industry Industrial,Reuters,2024-03-03,Sanction,C46,DB4,Tech,US,"Sanction event 'News Event 38 affecting industry Industrial' reported by Reuters on 2024-03-03, affecting Tech in US."
E39,News Event 39 affecting industry Industrial,FactSet,2023-09-12,Tariff,C50,,,US,"Tariff event 'News Event 39 affecting industry Industrial' reported by FactSet on 2023-09-12, affecting  in US."
E40,News Event 40 affecting industry Energy,Bloomberg,2023-11-24,Tariff,C34,DB5,Banking,US,"Tariff event 'News Event 40 affecting industry Energy' reported by Bloomberg on 2023-11-24, affecting Banking in US."
E41,News Event 41 affecting industry Tech,Bloomberg,2023-04-19,Sanction,C15,,Tech,,"Sanction event 'News Event 41 affecting industry Tech' reported by Bloomberg on 2023-04-19, affecting Tech in ."
E42,News Event 42 affecting industry Industrial,FactSet,2024-08-16,Default,C37,,,UK,"Default event 'News Event 42 affecting industry Industrial' reported by FactSet on 2024-08-16, affecting  in UK."
E43,News Event 43 affecting industry Industrial,FactSet,2023-06-10,Sanction,C12,,,UK,"Sanction event 'News Event 43 affecting industry Industrial' reported by FactSet on 2023-06-10, affecting  in UK."
E44,News Event 44 affecting industry Industrial,FactSet,2024-12-02,Default,C48,DB3,,SG,"Default event 'News Event 44 affecting industry Industrial' reported by FactSet on 2024-12-02, affecting  in SG."
E45,News Event 45 affecting industry Tech,FactSet,2023-12-25,Default,C39,DB3,,,"Default event 'News Event 45 affecting industry Tech' reported by FactSet on 2023-12-25, affecting  in ."
E46,News Event 46 affecting industry Tech,Reuters,2023-09-24,Merger,C1,DB3,Banking,SG,"Merger event 'News Event 46 affecting industry Tech' reported by Reuters on 2023-09-24, affecting Banking in SG."
E47,News Event 47 affecting industry Energy,FactSet,2024-10-12,Sanction,C11,DB1,Industrial,SG,"Sanction event 'News Event 47 affecting industry Energy' reported by FactSet on 2024-10-12, affecting Industrial in SG."
E48,News Event 48 affecting industry Tech,Reuters,2023-03-18,Sanction,C22,,Banking,UK,"Sanction event 'News Event 48 affecting industry Tech' reported by Reuters on 2023-03-18, affecting Banking in UK."
E49,News Event 49 affecting industry Industrial,Bloomberg,2024-09-08,Merger,,DB3,Industrial,CN,"Merger event 'News Event 49 affecting industry Industrial' reported by Bloomberg on 2024-09-08, affecting Industrial in CN."
E50,News Event 50 affecting industry Tech,Reuters,2024-12-15,Tariff,C14,DB2,Banking,,"Tariff event 'News Event 50 affecting industry Tech' reported by Reuters on 2024-12-15, affecting Banking in ."
E51,News Event 51 affecting industry Tech,Bloomberg,2024-10-15,Sanction,C12,DB1,,,"Sanction event 'News Event 51 affecting industry Tech' reported by Bloomberg on 2024-10-15, affecting  in ."
E52,News Event 52 affecting industry Tech,FactSet,2024-05-16,Sanction,C20,,Banking,CN,"Sanction event 'News Event 52 affecting industry Tech' reported by FactSet on 2024-05-16, affecting Banking in CN."
E53,News Event 53 affecting industry Energy,Bloomberg,2024-12-05,Tariff,C18,DB3,,,"Tariff event 'News Event 53 affecting industry Energy' reported by Bloomberg on 2024-12-05, affecting  in ."
E54,News Event 54 affecting industry Tech,FactSet,2023-09-09,Sanction,C34,DB4,Tech,CN,"Sanction event 'News Event 54 affecting industry Tech' reported by FactSet on 2023-09-09, affecting Tech in CN."
E55,News Event 55 affecting industry Tech,Reuters,2024-10-06,Default,C35,DB2,Banking,US,"Default event 'News Event 55 affecting industry Tech' reported by Reuters on 2024-10-06, affecting Banking in US."
E56,News Event 56 affecting industry Industrial,Bloomberg,2023-08-28,Tariff,C35,DB5,,CN,"Tariff event 'News Event 56 affecting industry Industrial' reported by Bloomberg on 2023-08-28, affecting  in CN."
E57,News Event 57 affecting industry Industrial,FactSet,2024-02-27,Merger,C2,,,UK,"Merger event 'News Event 57 affecting industry Industrial' reported by FactSet on 2024-02-27, affecting  in UK."
E58,News Event 58 affecting industry Tech,FactSet,2023-03-29,Tariff,C32,DB5,Industrial,SG,"Tariff event 'News Event 58 affecting industry Tech' reported by FactSet on 2023-03-29, affecting Industrial in SG."
E59,News Event 59 affecting industry Industrial,Reuters,2023-08-18,Sanction,C50,DB1,,UK,"Sanction event 'News Event 59 affecting industry Industrial' reported by Reuters on 2023-08-18, affecting  in UK."
E60,News Event 60 affecting industry Industrial,Reuters,2023-05-19,Default,C27,DB3,Retail,SG,"Default event 'News Event 60 affecting industry Industrial' reported by Reuters on 2023-05-19, affecting Retail in SG."
E61,News Event 61 affecting industry Industrial,FactSet,2024-06-17,Tariff,C39,DB2,Tech,UK,"Tariff event 'News Event 61 affecting industry Industrial' reported by FactSet on 2024-06-17, affecting Tech in UK."
E62,News Event 62 affecting industry Energy,Reuters,2024-02-26,Sanction,C47,DB4,Energy,US,"Sanction event 'News Event 62 affecting industry Energy' reported by Reuters on 2024-02-26, affecting Energy in US."
E63,News Event 63 affecting industry Tech,Reuters,2023-08-12,Sanction,C46,,Industrial,CN,"Sanction event 'News Event 63 affecting industry Tech' reported by Reuters on 2023-08-12, affecting Industrial in CN."
E64,News Event 64 affecting industry Tech,Reuters,2023-04-27,Default,C28,DB1,Banking,SG,"Default event 'News Event 64 affecting industry Tech' reported by Reuters on 2023-04-27, affecting Banking in SG."
E65,News Event 65 affecting industry Industrial,Reuters,2024-02-09,Default,C23,DB4,Banking,UK,"Default event 'News Event 65 affecting industry Industrial' reported by Reuters on 2024-02-09, affecting Banking in UK."
E66,News Event 66 affecting industry Tech,Reuters,2023-10-26,Sanction,C30,DB1,Retail,CN,"Sanction event 'News Event 66 affecting industry Tech' reported by Reuters on 2023-10-26, affecting Retail in CN."
E67,News Event 67 affecting industry Energy,Bloomberg,2023-06-12,Tariff,C31,DB2,Banking,CN,"Tariff event 'News Event 67 affecting industry Energy' reported by Bloomberg on 2023-06-12, affecting Banking in CN."
E68,News Event 68 affecting industry Tech,FactSet,2023-05-06,Tariff,,DB2,,CN,"Tariff event 'News Event 68 affecting industry Tech' reported by FactSet on 2023-05-06, affecting  in CN."
E69,News Event 69 affecting industry Industrial,Bloomberg,2024-07-07,Tariff,C26,,Retail,CN,"Tariff event 'News Event 69 affecting industry Industrial' reported by Bloomberg on 2024-07-07, affecting Retail in CN."
E70,News Event 70 affecting industry Industrial,FactSet,2023-03-16,Sanction,C21,DB5,Retail,,"Sanction event 'News Event 70 affecting industry Industrial' reported by FactSet on 2023-03-16, affecting Retail in ."
E71,News Event 71 affecting industry Tech,Bloomberg,2024-10-01,Merger,C20,DB1,Tech,SG,"Merger event 'News Event 71 affecting industry Tech' reported by Bloomberg on 2024-10-01, affecting Tech in SG."
E72,News Event 72 affecting industry Industrial,Reuters,2023-07-24,Tariff,C14,DB3,Retail,UK,"Tariff event 'News Event 72 affecting industry Industrial' reported by Reuters on 2023-07-24, affecting Retail in UK."
E73,News Event 73 affecting industry Tech,Reuters,2023-03-20,Sanction,C37,DB2,Tech,CN,"Sanction event 'News Event 73 affecting industry Tech' reported by Reuters on 2023-03-20, affecting Tech in CN."
E74,News Event 74 affecting industry Tech,Bloomberg,2024-02-29,Sanction,C23,DB5,Energy,,"Sanction event 'News Event 74 affecting industry Tech' reported by Bloomberg on 2024-02-29, affecting Energy in ."
E75,News Event 75 affecting industry Energy,FactSet,2023-08-14,Tariff,C39,DB2,Banking,SG,"Tariff event 'News Event 75 affecting industry Energy' reported by FactSet on 2023-08-14, affecting Banking in SG."
E76,News Event 76 affecting industry Energy,FactSet,2023-12-31,Tariff,C11,DB4,Tech,,"Tariff event 'News Event 76 affecting industry Energy' reported by FactSet on 2023-12-31, affecting Tech in ."
E77,News Event 77 affecting industry Energy,Reuters,2023-07-26,Merger,C36,DB4,Retail,SG,"Merger event 'News Event 77 affecting industry Energy' reported by Reuters on 2023-07-26, affecting Retail in SG."
E78,News Event 78 affecting industry Energy,Reuters,2024-11-16,Default,C37,,Tech,SG,"Default event 'News Event 78 affecting industry Energy' reported by Reuters on 2024-11-16, affecting Tech in SG."
E79,News Event 79 affecting industry Industrial,Bloomberg,2023-10-29,Default,C7,DB3,,,"Default event 'News Event 79 affecting industry Industrial' reported by Bloomberg on 2023-10-29, affecting  in ."
E80,News Event 80 affecting industry Tech,Reuters,2023-06-06,Default,C17,,Tech,UK,"Default event 'News Event 80 affecting industry Tech' reported by Reuters on 2023-06-06, affecting Tech in UK."
E81,News Event 81 affecting industry Industrial,FactSet,2023-03-21,Default,C28,DB4,Retail,SG,"Default event 'News Event 81 affecting industry Industrial' reported by FactSet on 2023-03-21, affecting Retail in SG."
E82,News Event 82 affecting industry Tech,Bloomberg,2023-04-16,Tariff,C16,DB1,Energy,,"Tariff event 'News Event 82 affecting industry Tech' reported by Bloomberg on 2023-04-16, affecting Energy in ."
E83,News Event 83 affecting industry Tech,Reuters,2023-10-12,Default,C49,,Industrial,US,"Default event 'News Event 83 affecting industry Tech' reported by Reuters on 2023-10-12, affecting Industrial in US."
E84,News Event 84 affecting industry Energy,Reuters,2023-04-05,Default,C5,DB2,Energy,UK,"Default event 'News Event 84 affecting industry Energy' reported by Reuters on 2023-04-05, affecting Energy in UK."
E85,News Event 85 affecting industry Industrial,Reuters,2023-09-25,Sanction,C11,DB2,Banking,,"Sanction event 'News Event 85 affecting industry Industrial' reported by Reuters on 2023-09-25, affecting Banking in ."
E86,News Event 86 affecting industry Tech,FactSet,2023-02-06,Sanction,C42,,Retail,DE,"Sanction event 'News Event 86 affecting industry Tech' reported by FactSet on 2023-02-06, affecting Retail in DE."
E87,News Event 87 affecting industry Tech,Reuters,2023-05-19,Sanction,C50,DB5,Energy,DE,"Sanction event 'News Event 87 affecting industry Tech' reported by Reuters on 2023-05-19, affecting Energy in DE."
E88,News Event 88 affecting industry Tech,Reuters,2023-03-13,Default,C19,DB3,,DE,"Default event 'News Event 88 affecting industry Tech' reported by Reuters on 2023-03-13, affecting  in DE."
E89,News Event 89 affecting industry Industrial,Reuters,2023-06-27,Sanction,C22,DB3,,,"Sanction event 'News Event 89 affecting industry Industrial' reported by Reuters on 2023-06-27, affecting  in ."
E90,News Event 90 affecting industry Energy,Bloomberg,2023-05-30,Merger,C44,DB3,Energy,CN,"Merger event 'News Event 90 affecting industry Energy' reported by Bloomberg on 2023-05-30, affecting Energy in CN."
E91,News Event 91 affecting industry Tech,Bloomberg,2024-04-28,Default,C16,DB3,Industrial,DE,"Default event 'News Event 91 affecting industry Tech' reported by Bloomberg on 2024-04-28, affecting Industrial in DE."
E92,News Event 92 affecting industry Energy,Bloomberg,2023-05-05,Tariff,C17,,Tech,UK,"Tariff event 'News Event 92 affecting industry Energy' reported by Bloomberg on 2023-05-05, affecting Tech in UK."
E93,News Event 93 affecting industry Tech,FactSet,2023-09-04,Sanction,C30,,Energy,,"Sanction event 'News Event 93 affecting industry Tech' reported by FactSet on 2023-09-04, affecting Energy in ."
E94,News Event 94 affecting industry Energy,FactSet,2023-12-10,Tariff,C17,DB2,,,"Tariff event 'News Event 94 affecting industry Energy' reported by FactSet on 2023-12-10, affecting  in ."
E95,News Event 95 affecting industry Energy,Bloomberg,2024-03-25,Sanction,C38,DB3,,,"Sanction event 'News Event 95 affecting industry Energy' reported by Bloomberg on 2024-03-25, affecting  in ."
E96,News Event 96 affecting industry Energy,FactSet,2023-11-24,Default,C46,,Energy,,"Default event 'News Event 96 affecting industry Energy' reported by FactSet on 2023-11-24, affecting Energy in ."
E97,News Event 97 affecting industry Industrial,Bloomberg,2023-07-19,Sanction,C44,DB5,Industrial,DE,"Sanction event 'News Event 97 affecting industry Industrial' reported by Bloomberg on 2023-07-19, affecting Industrial in DE."
E98,News Event 98 affecting industry Tech,Bloomberg,2024-07-08,Tariff,C5,,,,"Tariff event 'News Event 98 affecting industry Tech' reported by Bloomberg on 2024-07-08, affecting  in ."
E99,News Event 99 affecting industry Energy,FactSet,2024-01-23,Sanction,C5,DB1,Energy,CN,"Sanction event 'News Event 99 affecting industry Energy' reported by FactSet on 2024-01-23, affecting Energy in CN."
E100,News Event 100 affecting industry Tech,FactSet,2023-03-02,Tariff,C26,,,SG,"Tariff event 'News Event 100 affecting industry Tech' reported by FactSet on 2023-03-02, affecting  in SG."
