eventId,headline,source,date,type
E1,News Event 1 affecting industry Tech,FactSet,2023-03-04,Default
E2,News Event 2 affecting industry Tech,Bloomberg,2024-09-25,Sanction
E3,News Event 3 affecting industry Tech,Reuters,2024-05-02,Tariff
E4,News Event 4 affecting industry Industrial,Bloomberg,2023-11-26,Sanction
E5,News Event 5 affecting industry Tech,Bloomberg,2023-05-15,Merger
E6,News Event 6 affecting industry Industrial,Bloomberg,2024-02-27,Tariff
E7,News Event 7 affecting industry Tech,Bloomberg,2024-07-29,Tariff
E8,News Event 8 affecting industry Tech,Bloomberg,2023-12-08,Default
E9,News Event 9 affecting industry Industrial,FactSet,2024-11-16,Merger
E10,News Event 10 affecting industry Tech,Bloomberg,2023-01-23,Default
E11,News Event 11 affecting industry Energy,Reuters,2023-08-30,Sanction
E12,News Event 12 affecting industry Industrial,Reuters,2023-12-30,Default
E13,News Event 13 affecting industry Energy,FactSet,2023-02-17,Merger
E14,News Event 14 affecting industry Energy,FactSet,2024-09-16,Merger
E15,News Event 15 affecting industry Energy,Reuters,2024-11-15,Default
E16,News Event 16 affecting industry Industrial,Reuters,2023-03-13,Sanction
E17,News Event 17 affecting industry Industrial,Reuters,2023-08-20,Merger
E18,News Event 18 affecting industry Energy,Reuters,2024-09-11,Default
E19,News Event 19 affecting industry Energy,Bloomberg,2024-09-12,Merger
E20,News Event 20 affecting industry Tech,Bloomberg,2023-10-31,Tariff
E21,News Event 21 affecting industry Industrial,Bloomberg,2024-10-25,Tariff
E22,News Event 22 affecting industry Tech,Bloomberg,2024-06-30,Merger
E23,News Event 23 affecting industry Tech,Bloomberg,2024-11-13,Tariff
E24,News Event 24 affecting industry Industrial,Reuters,2024-12-24,Merger
E25,News Event 25 affecting industry Industrial,Bloomberg,2023-11-25,Sanction
E26,News Event 26 affecting industry Energy,Bloomberg,2024-12-18,Merger
E27,News Event 27 affecting industry Tech,FactSet,2023-11-24,Merger
E28,News Event 28 affecting industry Tech,Bloomberg,2024-12-02,Default
E29,News Event 29 affecting industry Energy,FactSet,2024-09-08,Tariff
E30,News Event 30 affecting industry Industrial,Reuters,2023-10-31,Default
E31,News Event 31 affecting industry Industrial,Reuters,2024-06-28,Sanction
E32,News Event 32 affecting industry Industrial,Bloomberg,2023-08-20,Sanction
E33,News Event 33 affecting industry Tech,FactSet,2023-03-22,Merger
E34,News Event 34 affecting industry Industrial,Bloomberg,2024-04-06,Default
E35,News Event 35 affecting industry Tech,Reuters,2024-12-16,Merger
E36,News Event 36 affecting industry Energy,FactSet,2023-03-21,Sanction
E37,News Event 37 affecting industry Industrial,Reuters,2024-08-11,Tariff
E38,News Event 38 affecting industry Industrial,Reuters,2024-03-03,Sanction
E39,News Event 39 affecting industry Industrial,FactSet,2023-09-12,Tariff
E40,News Event 40 affecting industry Energy,Bloomberg,2023-11-24,Tariff
E41,News Event 41 affecting industry Tech,Bloomberg,2023-04-19,Sanction
E42,News Event 42 affecting industry Industrial,FactSet,2024-08-16,Default
E43,News Event 43 affecting industry Industrial,FactSet,2023-06-10,Sanction
E44,News Event 44 affecting industry Industrial,FactSet,2024-12-02,Default
E45,News Event 45 affecting industry Tech,FactSet,2023-12-25,Default
E46,News Event 46 affecting industry Tech,Reuters,2023-09-24,Merger
E47,News Event 47 affecting industry Energy,FactSet,2024-10-12,Sanction
E48,News Event 48 affecting industry Tech,Reuters,2023-03-18,Sanction
E49,News Event 49 affecting industry Industrial,Bloomberg,2024-09-08,Merger
E50,News Event 50 affecting industry Tech,Reuters,2024-12-15,Tariff
E51,News Event 51 affecting industry Tech,Bloomberg,2024-10-15,Sanction
E52,News Event 52 affecting industry Tech,FactSet,2024-05-16,Sanction
E53,News Event 53 affecting industry Energy,Bloomberg,2024-12-05,Tariff
E54,News Event 54 affecting industry Tech,FactSet,2023-09-09,Sanction
E55,News Event 55 affecting industry Tech,Reuters,2024-10-06,Default
E56,News Event 56 affecting industry Industrial,Bloomberg,2023-08-28,Tariff
E57,News Event 57 affecting industry Industrial,FactSet,2024-02-27,Merger
E58,News Event 58 affecting industry Tech,FactSet,2023-03-29,Tariff
E59,News Event 59 affecting industry Industrial,Reuters,2023-08-18,Sanction
E60,News Event 60 affecting industry Industrial,Reuters,2023-05-19,Default
E61,News Event 61 affecting industry Industrial,FactSet,2024-06-17,Tariff
E62,News Event 62 affecting industry Energy,Reuters,2024-02-26,Sanction
E63,News Event 63 affecting industry Tech,Reuters,2023-08-12,Sanction
E64,News Event 64 affecting industry Tech,Reuters,2023-04-27,Default
E65,News Event 65 affecting industry Industrial,Reuters,2024-02-09,Default
E66,News Event 66 affecting industry Tech,Reuters,2023-10-26,Sanction
E67,News Event 67 affecting industry Energy,Bloomberg,2023-06-12,Tariff
E68,News Event 68 affecting industry Tech,FactSet,2023-05-06,Tariff
E69,News Event 69 affecting industry Industrial,Bloomberg,2024-07-07,Tariff
E70,News Event 70 affecting industry Industrial,FactSet,2023-03-16,Sanction
E71,News Event 71 affecting industry Tech,Bloomberg,2024-10-01,Merger
E72,News Event 72 affecting industry Industrial,Reuters,2023-07-24,Tariff
E73,News Event 73 affecting industry Tech,Reuters,2023-03-20,Sanction
E74,News Event 74 affecting industry Tech,Bloomberg,2024-02-29,Sanction
E75,News Event 75 affecting industry Energy,FactSet,2023-08-14,Tariff
E76,News Event 76 affecting industry Energy,FactSet,2023-12-31,Tariff
E77,News Event 77 affecting industry Energy,Reuters,2023-07-26,Merger
E78,News Event 78 affecting industry Energy,Reuters,2024-11-16,Default
E79,News Event 79 affecting industry Industrial,Bloomberg,2023-10-29,Default
E80,News Event 80 affecting industry Tech,Reuters,2023-06-06,Default
E81,News Event 81 affecting industry Industrial,FactSet,2023-03-21,Default
E82,News Event 82 affecting industry Tech,Bloomberg,2023-04-16,Tariff
E83,News Event 83 affecting industry Tech,Reuters,2023-10-12,Default
E84,News Event 84 affecting industry Energy,Reuters,2023-04-05,Default
E85,News Event 85 affecting industry Industrial,Reuters,2023-09-25,Sanction
E86,News Event 86 affecting industry Tech,FactSet,2023-02-06,Sanction
E87,News Event 87 affecting industry Tech,Reuters,2023-05-19,Sanction
E88,News Event 88 affecting industry Tech,Reuters,2023-03-13,Default
E89,News Event 89 affecting industry Industrial,Reuters,2023-06-27,Sanction
E90,News Event 90 affecting industry Energy,Bloomberg,2023-05-30,Merger
E91,News Event 91 affecting industry Tech,Bloomberg,2024-04-28,Default
E92,News Event 92 affecting industry Energy,Bloomberg,2023-05-05,Tariff
E93,News Event 93 affecting industry Tech,FactSet,2023-09-04,Sanction
E94,News Event 94 affecting industry Energy,FactSet,2023-12-10,Tariff
E95,News Event 95 affecting industry Energy,Bloomberg,2024-03-25,Sanction
E96,News Event 96 affecting industry Energy,FactSet,2023-11-24,Default
E97,News Event 97 affecting industry Industrial,Bloomberg,2023-07-19,Sanction
E98,News Event 98 affecting industry Tech,Bloomberg,2024-07-08,Tariff
E99,News Event 99 affecting industry Energy,FactSet,2024-01-23,Sanction
E100,News Event 100 affecting industry Tech,FactSet,2023-03-02,Tariff
